ascore,category,description,ein,tot_exp,fund_eff,fscore,NAME,tot_rev,score,state,size,CITY,ZIP,STATUS,impact_score,impact_efficiency,INCOME_AMT,REVENUE_AMT
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,EDISON,08818-0086,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,EDGEWATER PK,08010-3113,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,TEANECK,07666-1136,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,ROSELLE,07203-2126,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,TRENTON,08607-1355,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,CINNAMINSON,08077-3139,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,CAMDEN,08103-2711,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,NIAGARA FALLS,14305-0529,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,TRENTON,08625-0861,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,DEPTFORD,08096-0448,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,SALEM,08079-0025,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,SAINT ALBANS,11412-3345,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,LIVERPOOL,13090-1006,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,BRONX,10462-0482,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,BINGHAMTON,13902-6000,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,NEW YORK,10025-0000,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,PARAMUS,07652-1508,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,GALLOWAY,08205-9441,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,FLUSHING,11366-1026,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,MEDFORD,02156-0000,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,IRVINGTON,07111-0377,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,JERSEY CITY,07305-3239,1,Low,2.30781657473864e-05,84602.0,43331.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,HUNTINGTN STA,11746-0808,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,NEW YORK,10027-4423,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,ONEONTA,13820-0943,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,HARTFORD,06143-1012,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,NEW YORK,10025-6205,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,WYANDANCH,11798-2002,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,NYACK,10960-0448,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,ANSONIA,06401-0006,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,FAIR LAWN,07410-0626,1,Low,1.0,,0.0
89.0,Human and Civil Rights,"Since its inception in 1909, the National Association for the Advancement of Colored People (NAACP) has strived to ensure the political, educational, social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The objectives of the NAACP are to achieve equality of rights and eliminate race prejudice among the citizens of the United States; remove all barriers of racial discrimination through democratic processes; seek enactment and enforcement of federal, state and local laws securing civil rights; inform the public of the adverse effects of racial discrimination and to seek its elimination; and to educate persons as to their constitutional rights and to take all lawful action to secure the exercise of these rights.",13-1084135,24828336.0,0.15,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,75.18,MD,big,NORWICH,06360-0024,1,Low,1.0,,0.0
85.0,"Arts, Culture, Humanities","The Nassau County Museum of Art is dedicated to fostering a deeper understanding of art and culture through exhibition and education programs for people of all ages and backgrounds. In practice, the Museum pursues the mission by enhancing its permanent collections, sculpture park, historic property and natural setting. Nassau County Museum of Art annually presents major rotating exhibitions, many of which are original to the museum and are organized by the museum's own curatorial staff.",11-2949583,2572437.0,0.09,87.38,NASSAU COUNTY MUSEUM OF ART,2428352.0,86.13,NY,small,ROSLYN HARBOR,11576-1138,1,High,7.615860079387725e-07,4174447.0,3939148.0
89.0,"Arts, Culture, Humanities","The Nantucket Historical Association (NHA) tells the inspiring stories of Nantucket through its collections, programs, and properties.",04-6003451,5456879.0,0.16,80.78,NANTUCKET HISTORICAL ASSOCIATION,4747445.0,84.34,MA,mid,NANTUCKET,02554-1016,1,High,4.098152948805464e-07,8344500.0,7320371.0
96.0,"Arts, Culture, Humanities","The Nantucket Atheneum provides public library service to the island's year-round and seasonal residents, housed in a historic 1847 building and the Weezie Library for Children. The Atheneum collects, organizes and disseminates books, literature and other materials in a variety of formats to help users of all ages meet their recreational, personal, professional and intellectual needs. In keeping with its heritage, the Atheneum also serves as a cultural center for the Nantucket community by sponsoring educational programming and maintaining special collections related to the history and culture of the island.",04-2104412,2737637.0,0.18,83.67,NANTUCKET ATHENEUM,2415070.0,88.11,MA,small,NANTUCKET,02554-0808,1,High,1.3485915983642482e-06,11794879.0,2224543.0
100.0,Education,"NAF is a national network of education, business, and community leaders who work together to ensure high school students are college, career, and future ready. NAF's educational design ignites students' passion for learning and gives businesses the opportunity to shape America's future workforce by transforming the learning environment to include STEM infused industry-specific curricula and work-based learning experiences, including internships. Since 1982, NAF has been partnering with existing high schools in high-need communities to enhance school systems at a low cost by implementing NAF academies - small learning communities within traditional high schools. NAF has grown from one NAF Academy of Finance in New York City to hundreds of academies across the country focusing on growing industries including finance, hospitality & tourism, information technology, engineering, and health sciences.",13-3480246,19066788.0,0.08,91.41,NAF,23084494.0,93.92,NY,big,NEW YORK CITY,10018-0000,1,High,1.784729709824366e-07,24359170.0,16809268.0
100.0,Health,"Established in 1976, the Overlook Foundation raises funds for state-of-the-art equipment, facilities, medical experts, and programs that help Overlook Medical Center remain a leading provider of medical care. The monies raised by the foundation are used to provide direct support to Overlook in delivering high-quality, cost-effective health care in a healing environment. Overlook Medical Center is a ranked by Healthgrades as one of the top 100 hospitals in America, ranked on medical outcomes and safety and boasts the top neurosurgical, stroke, and neuroscience program in the state of New Jersey. Those neuroscience programs have earned national awards for excellence than any hospital in New Jersey or New York City.",51-0194054,6419341.0,0.3,78.74,OVERLOOK FOUNDATION,7462112.0,84.96,NJ,mid,SUMMIT,07901-3547,1,High,3.387549175922204e-07,23951728.0,8855960.0
97.0,Human and Civil Rights,"OutRight Action International, founded in 1990, is a leading international human rights organization dedicated to improving the lives of people who experience discrimination or abuse on the basis of their sexual orientation, gender identity or expression.",94-3139952,2691363.0,0.12,83.3,OUTRIGHT ACTION INTERNATIONAL,3366265.0,88.0,NY,small,NEW YORK,10038-4811,1,High,9.33958545938619e-07,3314411.0,3212134.0
66.0,Human Services,"Open Door Ministries works to serve, empower, and minister to clients in order to prevent and end hunger and homelessness through advocacy, education, housing, and coordination of services. Open Door Ministries was established in 1995, as a merger of High Point Urban Ministry and Open Door Shelter. We are one of the primary organizations in the greater High Point community that provides immediate assistance in the areas of food, housing, and emergency financial assistance to low-income, indigent, and homeless persons.",56-1576543,1696558.0,0.04,89.77,OPEN DOOR MINISTRIES,1684009.0,74.89,NC,small,CHARLTON DEPT,01509-0087,1,Low,1.0,,0.0
66.0,Human Services,"Open Door Ministries works to serve, empower, and minister to clients in order to prevent and end hunger and homelessness through advocacy, education, housing, and coordination of services. Open Door Ministries was established in 1995, as a merger of High Point Urban Ministry and Open Door Shelter. We are one of the primary organizations in the greater High Point community that provides immediate assistance in the areas of food, housing, and emergency financial assistance to low-income, indigent, and homeless persons.",56-1576543,1696558.0,0.04,89.77,OPEN DOOR MINISTRIES,1684009.0,74.89,NC,small,EDMESTON,13335-0014,1,Low,1.0,,0.0
81.0,Religion,"PULSE is a prayer and evangelism movement on mission to empower the Church and awaken culture to the reality of Jesus. We bring a fresh expression of Jesus to this generation, with a voice and media that resonate with youth culture. We're not interested in making the PULSE name known; we want the name of Jesus to be known. Since PULSE's founding, we have linked arms with hundreds of ministries and churches around the world to fuel evangelistic movements. Whether we are hosting a big outreach event or providing the evangelistic voice at another organization's event, whether training evangelists on American college campuses or overseas in Africa, the common goal of everything we do is to share the hope of Jesus.",20-5425332,7411059.0,0.09,92.47,PULSE,5176689.0,85.54,MN,mid,SHARON,02067-1408,1,Low,1.0,,0.0
85.0,"Arts, Culture, Humanities","Providence Public Library is an essential agency of public education and crucial to the infrastructure of our community. Since 1875, Providence Public Library has led residents of Providence and all Rhode Island to opportunities for lifelong learning and cultural enrichment. The Library provides free public library services through print, recorded, and digital collections, information resources, programs of interest and relevance, and expert staff. The Library is a committed partner with each individual in meeting their intellectual and cultural goals and with the broader community of reader/learners to achieve an informed, enlightened, and engaged citizenry.",05-0262713,5987590.0,0.06,89.08,PROVIDENCE PUBLIC LIBRARY,4748166.0,86.88,RI,mid,PROVIDENCE,02903-3228,1,High,6.34007663884641e-07,4867939.0,4731804.0
