ascore,category,tot_exp,admin_exp_p,fund_eff,fund_exp_p,program_exp_p,leader_comp_p,program_exp,fund_exp,fscore,NAME,tot_rev,subcategory,score,size,EIN,STATUS,impact_score,impact_efficiency,INCOME_AMT,REVENUE_AMT,NTEE_CD,ASSET_AMT,ACCT_PD,PF_FILING_REQ_CD,FILING_REQ_CD,INCOME_CD,ASSET_CD,FOUNDATION,DEDUCTIBILITY,RULING,CLASSIFICATION
96.0,Health,16209397.0,0.242,0.13,0.05,0.7070000000000001,0.0103,11460043.679,810469.8500000001,81.13,NEW YORK ACADEMY OF MEDICINE,16638446.0,Medical Research,86.36,big,131656674,1,High,2.71e-07,40229524.0,11069068,E050,82641790.0,12,0,1,8,9,15,1.0,193707.0,2800.0
86.0,"Arts, Culture, Humanities",16817014.0,0.061,0.08,0.121,0.8170000000000001,0.0432,13739500.438,2034858.694,94.6,NEW MUSEUM OF CONTEMPORARY ART,24302085.0,Museums,89.38,big,132986881,1,High,7.85e-08,50878124.0,38211400,A510,91834090.0,6,0,1,9,9,15,1.0,197911.0,2000.0
96.0,Religion,7629878.0,0.127,0.15,0.1,0.772,0.0288,5890265.816000001,762987.8,64.85,NEW LIFE MINISTRIES,7515465.0,Religious Media and Broadcasting,74.98,mid,113125078,1,Low,1.0,,0,,,12,0,6,0,0,10,1.0,199403.0,7000.0
92.0,"Arts, Culture, Humanities",12292103.0,0.1009999999999999,0.17,0.092,0.8059999999999999,0.0046,9907435.018,1130873.476,78.16,NEW JERSEY SYMPHONY ORCHESTRA,10666093.0,Performing Arts,83.55,mid,221559422,1,High,2.57e-07,14139878.0,11695531,A690,15310350.0,6,0,1,8,8,15,1.0,194403.0,1200.0
96.0,Environment,6683422.0,0.08,0.15,0.118,0.8,0.0192999999999999,5346737.600000001,788643.7960000001,93.57,NEW JERSEY AUDUBON SOCIETY,6390481.0,Environmental Protection and Conservation,94.64,mid,221539642,1,High,4.16e-07,8945909.0,7214623,C300,28025892.0,8,0,1,7,8,15,1.0,193704.0,2800.0
97.0,Human Services,7322156.0,0.0279999999999999,0.04,0.054,0.917,0.0101,6714417.052,395396.42400000006,95.0,NEW HOPE MINISTRIES,7958406.0,Social Services,95.87,mid,161494074,1,Low,1.0,,0,X99Z,,12,0,6,0,0,10,1.0,199807.0,7000.0
100.0,Animals,2369266.0,0.096,0.12,0.088,0.815,0.0395999999999999,1930951.79,208495.408,85.9,NEW HAMPSHIRE SPCA,2132324.0,"Animal Rights, Welfare, and Services",90.02,small,26000614,1,High,1.47e-06,2385477.0,2045361,D200,7770434.0,3,0,1,6,7,15,1.0,197204.0,4000.0
100.0,Animals,1231486.0,0.108,0.24,0.124,0.7659999999999999,0.055,943318.2759999998,152704.264,77.33,NEW HAMPSHIRE HUMANE SOCIETY,1506502.0,"Animal Rights, Welfare, and Services",83.96,small,26006374,1,High,2.84e-06,3440397.0,1057162,D200,5082156.0,12,0,1,6,7,16,1.0,196312.0,4000.0
100.0,Human Services,2277668.0,0.262,0.26,0.157,0.579,0.0574,1318769.772,357593.876,70.36,NEW HAMPSHIRE ASSOCIATION FOR THE BLIND,2610087.0,Social Services,79.04,small,20223606,1,High,1.27e-06,2414619.0,2356303,,9092998.0,8,0,1,6,7,16,1.0,194905.0,1000.0
89.0,Animals,1566100.0,0.114,0.1,0.075,0.81,0.0958,1268541.0,117457.5,96.25,NEW ENGLAND WILDLIFE CENTER,2107323.0,Wildlife Conservation,91.78,small,42907561,1,High,2.55e-06,1175652.0,1175652,D340,5908824.0,12,0,1,6,7,15,1.0,198404.0,1000.0
93.0,Environment,2639084.0,0.184,0.08,0.079,0.736,0.0567999999999999,1942365.824,208487.636,86.59,NEW ENGLAND WILD FLOWER SOCIETY,5572599.0,"Botanical Gardens, Parks, and Nature Centers",89.3,small,42104768,1,High,1.34e-06,3226144.0,2234691,C420,10615806.0,12,0,1,6,8,15,1.0,195509.0,1000.0
93.0,Human Services,5232744.0,0.08,0.24,0.079,0.8390000000000001,0.026,4390272.216,413386.776,86.55,NEW ENGLAND KURN HATTIN HOMES,3261342.0,"Youth Development, Shelter, and Crisis Services",89.27,mid,30179306,1,High,7.59e-07,15282450.0,3952511,P730,47877690.0,6,0,1,8,8,15,1.0,192606.0,1200.0
100.0,Animals,1211547.0,0.046,0.19,0.108,0.8440000000000001,0.027,1022545.668,130847.07600000002,94.82,NEW ENGLAND ANTI-VIVISECTION SOCIETY,874432.0,"Animal Rights, Welfare, and Services",96.33,small,42104756,1,Medium,2.52e-06,928479.0,792947,D200,8000338.0,12,0,1,5,7,15,1.0,194403.0,1400.0
96.0,Health,6307127.0,0.043,0.02,0.066,0.89,0.0236,5613343.03,416270.382,100.0,NEUROENDOCRINE TUMOR RESEARCH FOUNDATION,2292536.0,"Diseases, Disorders, and Disciplines",97.17,mid,201945347,1,High,1.38e-06,2186419.0,2178575,G123,19227124.0,12,0,1,6,8,15,1.0,200503.0,1000.0
96.0,Education,14801569.0,0.151,0.09,0.118,0.7290000000000001,0.0256999999999999,10790343.801,1746585.1420000002,79.56,NETWORK FOR TEACHING ENTREPRENEURSHIP,18774187.0,Youth Education Programs and Services,85.27,big,133408731,1,High,1.44e-07,21246724.0,20802704,O53Z,14367907.0,6,0,1,8,8,15,1.0,198712.0,1000.0
100.0,Human Services,3098949.0,0.104,0.14,0.017,0.877,0.0381,2717778.273,52682.133,86.69,NEIGHBORHOOD CLUB,3424640.0,Social Services,90.58,small,41655980,1,Medium,1.09e-05,184221.0,184221,,364728.0,4,0,1,4,4,0,2.0,191402.0,1000.0
93.0,Human Services,1911914.0,0.048,0.02,0.023,0.928,,1774256.1919999998,43974.022,96.44,NEIGHBOR TO NEIGHBOR,2507462.0,Social Services,94.44,small,473013493,1,Low,1.0,0.0,0,T50,0.0,12,0,2,0,0,16,1.0,201706.0,1000.0
100.0,International,14619159.0,0.054,0.01,0.018,0.927,0.0126,13551960.393,263144.862,87.5,NEAR EAST FOUNDATION,14660023.0,Development and Relief Services,91.16,big,131624114,1,High,2.75e-07,14386984.0,10900174,Q300,8304557.0,6,0,1,8,7,15,1.0,195209.0,1000.0
92.0,Human and Civil Rights,4840649.0,0.207,0.09,0.105,0.6859999999999999,0.0348,3320685.214,508268.145,87.81,NATIONAL LATINA INSTITUTE FOR REPRODUCTIVE HEALTH,4034118.0,Advocacy and Education,89.68,mid,521891734,1,High,7.38e-07,5916858.0,4066657,E014,6443093.0,12,0,1,7,7,15,1.0,199501.0,2100.0
100.0,Health,20576103.0,0.165,0.04,0.05,0.7829999999999999,0.0161,16111088.648999998,1028805.15,92.71,NATIONAL HEMOPHILIA FOUNDATION,22117595.0,"Diseases, Disorders, and Disciplines",94.84,big,50308900,1,Low,1.0,0.0,0,E86,0.0,6,0,2,0,0,15,1.0,201102.0,1200.0
89.0,Research and Public Policy,8569143.0,0.088,0.02,0.033,0.878,0.0196,7523707.554,282781.71900000004,100.0,NATIONAL EMPLOYMENT LAW PROJECT,16800662.0,Social and Public Policy Research,92.22,mid,132758558,1,High,3.67e-07,8171056.0,8171056,,12768117.0,12,0,1,7,8,15,1.0,197408.0,1000.0
100.0,Health,3619563.0,0.071,0.15,0.149,0.779,0.0323,2819639.577,539314.887,87.97,NATIONAL EATING DISORDERS ASSOCIATION,3935171.0,Patient and Family Support,91.49,mid,133444882,1,High,7.62e-07,4123530.0,3935171,,2599056.0,12,0,1,6,6,16,1.0,199311.0,1000.0
100.0,Health,2131501.0,0.125,0.12,0.128,0.746,0.0898,1590099.746,272832.128,82.02,NATIONAL DOWN SYNDROME SOCIETY,9969199.0,"Diseases, Disorders, and Disciplines",87.28,small,132992567,1,High,1.44e-06,3357766.0,2085901,,3860021.0,3,0,1,6,6,15,1.0,197908.0,1000.0
96.0,Health,10701678.0,0.158,0.13,0.05,0.7909999999999999,0.0654,8465027.297999999,535083.9,90.81,THE NATIONAL CENTER ON ADDICTION AND SUBSTANCE ABUSE,7818746.0,Treatment and Prevention Services,92.91,mid,521736502,1,Low,1.0,,0,F010,,12,0,1,8,9,15,1.0,199107.0,1200.0
89.0,Education,1225920.0,0.213,0.09,0.09,0.695,0.1542,852014.3999999999,110332.8,90.57,NATIONAL ASSOCIATION OF SCHOLARS,1254632.0,Education Policy and Reform,89.75,small,112741490,1,High,2.29e-06,1385245.0,1309243,B40C,1243752.0,12,0,1,6,6,15,1.0,199111.0,1000.0
89.0,Education,1225920.0,0.213,0.09,0.09,0.695,0.1542,852014.3999999999,110332.8,90.57,NATIONAL ASSOCIATION OF SCHOLARS,1254632.0,Education Policy and Reform,89.75,small,133591359,1,Low,1.0,0.0,0,B40C,0.0,12,0,2,0,0,15,1.0,199111.0,1000.0
89.0,Education,1225920.0,0.213,0.09,0.09,0.695,0.1542,852014.3999999999,110332.8,90.57,NATIONAL ASSOCIATION OF SCHOLARS,1254632.0,Education Policy and Reform,89.75,small,223173820,1,Low,1.0,0.0,0,B40C,0.0,12,0,2,0,0,15,1.0,199111.0,1000.0
89.0,Education,1225920.0,0.213,0.09,0.09,0.695,0.1542,852014.3999999999,110332.8,90.57,NATIONAL ASSOCIATION OF SCHOLARS,1254632.0,Education Policy and Reform,89.75,small,223195177,1,Low,1.0,0.0,0,B40C,0.0,12,0,2,0,0,15,1.0,199111.0,1000.0
89.0,Education,1225920.0,0.213,0.09,0.09,0.695,0.1542,852014.3999999999,110332.8,90.57,NATIONAL ASSOCIATION OF SCHOLARS,1254632.0,Education Policy and Reform,89.75,small,521733792,1,Low,1.0,0.0,0,B40C,0.0,12,0,2,0,0,15,1.0,199111.0,1000.0
89.0,Education,1225920.0,0.213,0.09,0.09,0.695,0.1542,852014.3999999999,110332.8,90.57,NATIONAL ASSOCIATION OF SCHOLARS,1254632.0,Education Policy and Reform,89.75,small,521763524,1,Low,1.0,0.0,0,B40C,0.0,12,0,2,0,0,15,1.0,199111.0,1000.0
89.0,Education,1225920.0,0.213,0.09,0.09,0.695,0.1542,852014.3999999999,110332.8,90.57,NATIONAL ASSOCIATION OF SCHOLARS,1254632.0,Education Policy and Reform,89.75,small,521763525,1,Low,1.0,0.0,0,B40C,0.0,12,0,2,0,0,15,1.0,199111.0,1000.0
89.0,Education,1225920.0,0.213,0.09,0.09,0.695,0.1542,852014.3999999999,110332.8,90.57,NATIONAL ASSOCIATION OF SCHOLARS,1254632.0,Education Policy and Reform,89.75,small,521763536,1,Low,1.0,0.0,0,B40C,0.0,12,0,2,0,0,15,1.0,199111.0,1000.0
89.0,Education,1225920.0,0.213,0.09,0.09,0.695,0.1542,852014.3999999999,110332.8,90.57,NATIONAL ASSOCIATION OF SCHOLARS,1254632.0,Education Policy and Reform,89.75,small,521945775,1,Low,1.0,0.0,0,B40C,0.0,12,0,2,0,0,15,1.0,199111.0,1000.0
89.0,Education,1225920.0,0.213,0.09,0.09,0.695,0.1542,852014.3999999999,110332.8,90.57,NATIONAL ASSOCIATION OF SCHOLARS,1254632.0,Education Policy and Reform,89.75,small,521945776,1,Low,1.0,0.0,0,B40C,0.0,12,0,2,0,0,15,1.0,199111.0,1000.0
89.0,Education,1225920.0,0.213,0.09,0.09,0.695,0.1542,852014.3999999999,110332.8,90.57,NATIONAL ASSOCIATION OF SCHOLARS,1254632.0,Education Policy and Reform,89.75,small,541568128,1,Low,1.0,0.0,0,B40C,0.0,12,0,2,0,0,15,1.0,199111.0,1000.0
89.0,Education,1225920.0,0.213,0.09,0.09,0.695,0.1542,852014.3999999999,110332.8,90.57,NATIONAL ASSOCIATION OF SCHOLARS,1254632.0,Education Policy and Reform,89.75,small,911863853,1,Low,1.0,0.0,0,B40C,0.0,12,0,2,0,0,15,1.0,199111.0,1000.0
89.0,Education,1225920.0,0.213,0.09,0.09,0.695,0.1542,852014.3999999999,110332.8,90.57,NATIONAL ASSOCIATION OF SCHOLARS,1254632.0,Education Policy and Reform,89.75,small,912159390,1,Low,1.0,0.0,0,B40C,0.0,12,0,2,0,0,15,1.0,199111.0,1000.0
89.0,Education,1225920.0,0.213,0.09,0.09,0.695,0.1542,852014.3999999999,110332.8,90.57,NATIONAL ASSOCIATION OF SCHOLARS,1254632.0,Education Policy and Reform,89.75,small,931226383,1,Low,1.0,0.0,0,B40C,0.0,12,0,2,0,0,15,1.0,199111.0,1000.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,26018938,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,3100.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,42688102,1,Low,0.000858369,1165.0,1165,,12071.0,12,0,2,1,2,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,43366721,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,46188955,1,Low,1.0,,0,,,12,0,1,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,46188956,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,46188962,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,56023641,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,56023642,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,61172538,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,61199669,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,66099300,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,66099301,1,Low,1.0,0.0,0,,0.0,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,112329354,1,Low,1.0,,0,,,12,0,1,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,112731447,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,113259963,1,Low,1.0,,0,,,12,0,1,0,0,0,2.0,196111.0,1000.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,116101201,1,Low,1.0,,0,,,12,0,1,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,136227886,1,Low,1.0,,0,,,12,0,1,0,0,0,1.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,136227891,1,Low,1.0,,0,,,12,0,1,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,136227897,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,136227898,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,136227899,1,Low,1.0,,0,,,12,0,1,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,136227900,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,141685793,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,146039395,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,161424076,1,Low,1.0,0.0,0,,0.0,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,166089770,1,Low,1.0,,0,,,12,0,1,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,166089788,1,Low,1.0,,0,,,12,0,1,3,2,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,201498455,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,222566096,1,Low,1.0,,0,,,12,0,1,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,222956452,1,Low,1.0,,0,,,12,0,1,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,223086105,1,Low,1.0,,0,,,12,0,1,0,0,0,2.0,196111.0,1000.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,223195877,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,223379378,1,Low,1.0,,0,,,12,0,1,0,0,0,2.0,196111.0,1000.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,223461435,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,223618055,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,226095642,1,Low,1.0,0.0,0,,0.0,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,226095659,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,226095664,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,226095665,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,226095667,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,226095670,1,Low,1.0,0.0,0,,0.0,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,226095673,1,Low,1.0,,0,,,12,0,1,0,0,0,1.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,226095680,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,226095682,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,226095687,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,3100.0
89.0,Human and Civil Rights,24828336.0,0.179,0.15,0.086,0.7340000000000001,0.012,18223998.624,2135236.896,66.68,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,24358651.0,Advocacy and Education,75.18,big,226095689,1,Low,1.0,,0,,,12,0,2,0,0,0,2.0,196111.0,1300.0
